Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
120,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
121,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
122,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
123,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
124,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
125,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
126,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
127,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
128,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
129,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
130,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
131,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
132,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
133,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
134,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
135,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
136,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
137,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
138,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
139,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
140,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
