Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
203,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
204,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
205,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
206,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
207,ConserveBet3,12.0,10,6.0,6,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
208,ConserveBet3,12.0,10,6.0,7,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
209,ConserveBet3,12.0,10,6.0,7,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
210,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
211,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
212,ConserveBet3,12.0,10,6.0,5,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
213,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
214,ConserveBet3,12.0,10,6.0,10,22.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
215,ConserveBet3,12.0,10,6.0,10,22.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
216,ConserveBet3,12.0,10,6.0,6,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
217,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
218,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
219,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
220,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
221,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
222,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
223,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
224,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
225,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
226,ConserveBet3,12.0,10,6.0,10,24.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
227,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
228,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
229,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
230,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
231,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
232,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
233,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
234,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
235,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
236,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
237,ConserveBet3,12.0,10,6.0,4,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
238,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
239,ConserveBet3,12.0,10,6.0,4,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
240,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
241,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
242,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
243,ConserveBet3,12.0,10,6.0,10,26.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
244,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
245,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
246,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
247,ConserveBet3,12.0,10,6.0,10,20.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
248,ConserveBet3,12.0,10,6.0,9,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
249,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
250,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
251,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
252,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
253,ConserveBet3,12.0,10,6.0,10,6.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
254,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
