Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
120,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
121,4BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
122,4BetAllInAt12Dollars,12.0,10,12.0,3,3.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
123,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
124,4BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
125,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
126,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
127,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
128,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
129,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
130,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
131,4BetAllInAt12Dollars,12.0,10,12.0,5,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
132,4BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
133,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
134,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
135,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
136,4BetAllInAt12Dollars,12.0,10,12.0,10,39.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
137,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
138,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
139,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
