Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
179,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
180,1BetAllInAt12Dollars,12,10,12,9,0,FISH:12.0
181,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
182,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
183,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
184,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
185,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
186,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
187,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
188,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
189,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
190,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
191,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
192,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
193,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
194,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
195,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
196,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
197,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
198,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
199,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
200,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
201,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
202,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
203,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
204,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
205,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
206,1BetAllInAt12Dollars,12,10,12,10,0,FISH:12.0
207,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
208,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
209,1BetAllInAt12Dollars,12,10,12,9,0,FISH:12.0
210,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
211,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
212,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
213,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
214,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
215,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
216,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
217,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
218,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
219,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
220,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
221,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
222,1BetAllInAt12Dollars,12,10,12,6,0,FISH:12.0
223,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
224,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
225,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
226,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
227,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
228,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
229,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
230,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
231,1BetAllInAt12Dollars,12,10,12,10,120,FISH:12.0
232,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
233,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
234,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
235,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
236,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
237,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
238,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
239,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
240,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
241,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
242,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
243,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
244,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
245,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
246,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
247,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
248,1BetAllInAt12Dollars,12,10,12,10,0,FISH:12.0
249,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
250,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
251,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
252,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
253,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
254,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
255,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
256,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
257,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
258,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
