Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
218,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
219,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
220,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
221,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
222,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
223,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
224,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
225,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
226,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
227,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
228,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
229,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
230,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
231,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
232,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
233,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
234,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
235,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
236,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
237,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
238,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
239,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
240,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
241,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
242,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
243,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
244,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
245,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
246,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
247,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
248,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
249,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
250,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
251,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
252,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
253,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
254,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
255,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
256,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
257,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
258,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
259,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
260,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
261,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
262,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
263,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
264,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
265,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
266,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
267,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
268,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
269,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
270,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
271,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
272,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
273,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
274,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
