Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
154,2BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:6.0|FISH:6.0
155,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
156,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
157,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
158,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
159,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
160,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
161,2BetAllInAt12Dollars,12.0,10,12.0,7,6.0,CRAB:6.0|FISH:6.0
162,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
163,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
164,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
165,2BetAllInAt12Dollars,12.0,10,12.0,8,6.0,CRAB:6.0|FISH:6.0
166,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
167,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
168,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
169,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
170,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
171,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
172,2BetAllInAt12Dollars,12.0,10,12.0,10,66.0,CRAB:6.0|FISH:6.0
173,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
174,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
175,2BetAllInAt12Dollars,12.0,10,12.0,8,6.0,CRAB:6.0|FISH:6.0
176,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
177,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
178,2BetAllInAt12Dollars,12.0,10,12.0,8,0.0,CRAB:6.0|FISH:6.0
179,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
180,2BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:6.0|FISH:6.0
181,2BetAllInAt12Dollars,12.0,10,12.0,10,54.0,CRAB:6.0|FISH:6.0
182,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
183,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
184,2BetAllInAt12Dollars,12.0,10,12.0,5,0.0,CRAB:6.0|FISH:6.0
185,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
186,2BetAllInAt12Dollars,12.0,10,12.0,8,0.0,CRAB:6.0|FISH:6.0
187,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
188,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
189,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
190,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
191,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
192,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
193,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
194,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
195,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
196,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
197,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
198,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
199,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
200,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
201,2BetAllInAt12Dollars,12.0,10,12.0,5,6.0,CRAB:6.0|FISH:6.0
202,2BetAllInAt12Dollars,12.0,10,12.0,9,6.0,CRAB:6.0|FISH:6.0
203,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
204,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
205,2BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:6.0|FISH:6.0
206,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
207,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
