Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
155,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
156,ConserveBet4,12.0,10,6.0,4,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
157,ConserveBet4,12.0,10,6.0,8,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
158,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
159,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
160,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
161,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
162,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
163,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
164,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
165,ConserveBet4,12.0,10,6.0,10,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
166,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
167,ConserveBet4,12.0,10,6.0,2,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
168,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
169,ConserveBet4,12.0,10,6.0,8,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
170,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
171,ConserveBet4,12.0,10,6.0,5,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
172,ConserveBet4,12.0,10,6.0,10,24.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
173,ConserveBet4,12.0,10,6.0,2,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
174,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
175,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
176,ConserveBet4,12.0,10,6.0,10,6.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
177,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
178,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
179,ConserveBet4,12.0,10,6.0,7,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
180,ConserveBet4,12.0,10,6.0,4,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
181,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
182,ConserveBet4,12.0,10,6.0,3,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
183,ConserveBet4,12.0,10,6.0,3,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
184,ConserveBet4,12.0,10,6.0,10,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
185,ConserveBet4,12.0,10,6.0,10,6.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
186,ConserveBet4,12.0,10,6.0,10,19.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
187,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
188,ConserveBet4,12.0,10,6.0,10,18.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
189,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
190,ConserveBet4,12.0,10,6.0,8,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
191,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
192,ConserveBet4,12.0,10,6.0,8,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
193,ConserveBet4,12.0,10,6.0,8,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
194,ConserveBet4,12.0,10,6.0,7,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
195,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
196,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
197,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
198,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
199,ConserveBet4,12.0,10,6.0,8,1.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
200,ConserveBet4,12.0,10,6.0,6,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
201,ConserveBet4,12.0,10,6.0,9,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
202,ConserveBet4,12.0,10,6.0,6,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
203,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
204,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
205,ConserveBet4,12.0,10,6.0,6,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
206,ConserveBet4,12.0,10,6.0,10,16.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
207,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
208,ConserveBet4,12.0,10,6.0,10,7.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
209,ConserveBet4,12.0,10,6.0,5,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
210,ConserveBet4,12.0,10,6.0,10,21.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
211,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
212,ConserveBet4,12.0,10,6.0,10,6.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
213,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
214,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
215,ConserveBet4,12.0,10,6.0,10,6.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
216,ConserveBet4,12.0,10,6.0,4,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
217,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
218,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
219,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
220,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
221,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
