Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
145,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
146,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
147,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
148,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
149,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
150,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
151,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
152,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
153,ConserveBet2,12.0,10,6.0,9,3.0,CRAB:3.0|FISH:3.0
154,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
155,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
156,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
157,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
158,ConserveBet2,12.0,10,6.0,10,3.0,CRAB:3.0|FISH:3.0
159,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
160,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
161,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
162,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
163,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
164,ConserveBet2,12.0,10,6.0,10,33.0,CRAB:3.0|FISH:3.0
165,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
166,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
167,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
168,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
169,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
170,ConserveBet2,12.0,10,6.0,9,3.0,CRAB:3.0|FISH:3.0
171,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
172,ConserveBet2,12.0,10,6.0,10,3.0,CRAB:3.0|FISH:3.0
173,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
174,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
175,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
176,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
177,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
178,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
179,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
180,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
181,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
182,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
183,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
184,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
185,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
186,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
187,ConserveBet2,12.0,10,6.0,5,3.0,CRAB:3.0|FISH:3.0
188,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
189,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
190,ConserveBet2,12.0,10,6.0,10,0.0,CRAB:3.0|FISH:3.0
191,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
192,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
193,ConserveBet2,12.0,10,6.0,10,39.0,CRAB:3.0|FISH:3.0
194,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
195,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
196,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
197,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
198,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
199,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
200,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
201,ConserveBet2,12.0,10,6.0,5,3.0,CRAB:3.0|FISH:3.0
202,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
203,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
204,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
205,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
206,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
207,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
208,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
209,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
210,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
211,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
212,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
213,ConserveBet2,12.0,10,6.0,10,33.0,CRAB:3.0|FISH:3.0
214,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
215,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
216,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
217,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
218,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
219,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
220,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
